,symboling,normalized-losses,make,fuel-type,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L/100km,highway-mpg,price,horsepower-binned,aspiration-std,aspiration-turbo
0,3,122.0,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.19047619047619,27,13495,Low,True,False
1,3,122.0,alfa-romero,gas,two,convertible,rwd,front,88.6,168.8,64.1,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,11.19047619047619,27,16500,Low,True,False
2,1,122.0,alfa-romero,gas,two,hatchback,rwd,front,94.5,171.2,65.5,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,12.368421052631579,26,16500,Medium,True,False
3,2,164,audi,gas,four,sedan,fwd,front,99.8,176.6,66.2,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102,5500,9.791666666666666,30,13950,Low,True,False
4,2,164,audi,gas,four,sedan,4wd,front,99.4,176.6,66.4,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115,5500,13.055555555555555,22,17450,Low,True,False
5,2,122.0,audi,gas,two,sedan,fwd,front,99.8,177.3,66.3,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,15250,Low,True,False
6,1,158,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,17710,Low,True,False
7,1,122.0,audi,gas,four,wagon,fwd,front,105.8,192.7,71.4,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,18920,Low,True,False
8,1,158,audi,gas,four,sedan,fwd,front,105.8,192.7,71.4,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140,5500,13.823529411764707,20,23875,Medium,False,True
9,2,192,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,10.217391304347826,29,16430,Low,True,False
10,0,192,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,10.217391304347826,29,16925,Low,True,False
11,0,188,bmw,gas,two,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,28,20970,Medium,True,False
12,0,188,bmw,gas,four,sedan,rwd,front,101.2,176.8,64.8,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,28,21105,Medium,True,False
13,1,122.0,bmw,gas,four,sedan,rwd,front,103.5,189.0,66.9,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.75,25,24565,Medium,True,False
14,0,122.0,bmw,gas,four,sedan,rwd,front,103.5,189.0,66.9,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.6875,22,30760,Medium,True,False
15,0,122.0,bmw,gas,two,sedan,rwd,front,103.5,193.8,67.9,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,14.6875,22,41315,Medium,True,False
16,0,122.0,bmw,gas,four,sedan,rwd,front,110.0,197.0,70.9,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182,5400,15.666666666666666,20,36880,Medium,True,False
17,2,121,chevrolet,gas,two,hatchback,fwd,front,88.4,141.1,60.3,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5.0,53,5151,Low,True,False
18,1,98,chevrolet,gas,two,hatchback,fwd,front,94.5,155.9,63.6,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,43,6295,Low,True,False
19,0,81,chevrolet,gas,four,sedan,fwd,front,94.5,158.8,63.6,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,43,6575,Low,True,False
20,1,118,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.351351351351352,41,5572,Low,True,False
21,1,118,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6377,Low,True,False
22,1,118,dodge,gas,two,hatchback,fwd,front,93.7,157.3,63.8,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,30,7957,Low,False,True
23,1,148,dodge,gas,four,hatchback,fwd,front,93.7,157.3,63.8,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6229,Low,True,False
24,1,148,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6692,Low,True,False
25,1,148,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,7609,Low,True,False
26,1,148,dodge,gas,four,sedan,fwd,front,93.7,157.3,63.8,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102,5500,9.791666666666666,30,8558,Low,False,True
27,-1,110,dodge,gas,four,wagon,fwd,front,103.3,174.6,64.6,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88,5000,9.791666666666666,30,8921,Low,True,False
28,3,145,dodge,gas,two,hatchback,fwd,front,95.9,173.2,66.3,0.8394648829431439,2811,ohc,four,156,mfi,3.60,3.90,7.0,145,5000,12.368421052631579,24,12964,Medium,False,True
29,2,137,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58,4800,4.795918367346939,54,6479,Low,True,False
30,2,137,honda,gas,two,hatchback,fwd,front,86.6,144.6,63.9,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.580645161290323,38,6855,Low,True,False
31,1,101,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,6.184210526315789,42,5399,Low,True,False
32,1,101,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,6529,Low,True,False
33,1,101,honda,gas,two,hatchback,fwd,front,93.7,150.0,64.0,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,7129,Low,True,False
34,0,110,honda,gas,four,sedan,fwd,front,96.5,163.4,64.0,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,7.833333333333333,34,7295,Low,True,False
35,0,78,honda,gas,four,wagon,fwd,front,96.5,157.1,63.9,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,7.833333333333333,34,7295,Low,True,False
36,0,106,honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,7895,Low,True,False
37,0,106,honda,gas,two,hatchback,fwd,front,96.5,167.5,65.2,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,9095,Low,True,False
38,0,85,honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,8845,Low,True,False
39,0,85,honda,gas,four,sedan,fwd,front,96.5,175.4,62.5,0.9046822742474917,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86,5800,8.703703703703704,33,10295,Low,True,False
40,0,85,honda,gas,four,sedan,fwd,front,96.5,175.4,65.2,0.9046822742474917,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101,5800,9.791666666666666,28,12945,Low,True,False
41,1,107,honda,gas,two,sedan,fwd,front,96.5,169.1,66.0,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,9.4,31,10345,Low,True,False
42,0,122.0,isuzu,gas,four,sedan,rwd,front,94.3,170.7,61.8,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,9.791666666666666,29,6785,Low,True,False
43,2,122.0,isuzu,gas,two,hatchback,rwd,front,96.0,172.6,65.2,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,9.791666666666666,29,11048,Low,True,False
44,0,145,jaguar,gas,four,sedan,rwd,front,113.0,199.6,69.6,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.666666666666666,19,32250,Medium,True,False
45,0,122.0,jaguar,gas,four,sedan,rwd,front,113.0,199.6,69.6,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15.666666666666666,19,35550,Medium,True,False
46,0,122.0,jaguar,gas,two,sedan,rwd,front,102.0,191.7,70.6,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,18.076923076923077,17,36000,High,True,False
47,1,104,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.833333333333333,31,5195,Low,True,False
48,1,104,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6095,Low,True,False
49,1,104,mazda,gas,two,hatchback,fwd,front,93.1,159.1,64.2,0.9046822742474917,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6795,Low,True,False
50,1,113,mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,0.9046822742474917,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68,5000,7.580645161290323,38,6695,Low,True,False
51,1,113,mazda,gas,four,sedan,fwd,front,93.1,166.8,64.2,0.9046822742474917,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68,5000,7.580645161290323,38,7395,Low,True,False
52,3,150,mazda,gas,two,hatchback,rwd,front,95.3,169.0,65.7,0.8294314381270904,2380,rotor,two,70,4bbl,3.3297512437810943,3.255422885572139,9.4,101,6000,13.823529411764707,23,10945,Low,True,False
